Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Joe del Rosario,Calls - Leila Assil,Calls - Jenny Allison,Calls - Quinzel Perry,Salesforce ID
001Hr000028ZbpD,"City Of Prineville, OR",Oregon,Municipality,Catherine Silvestri,11227,,Tier 2,1.0,44.2998,-120.8345,ec0d9426-0b57-4b0e-9e93-b19301635a4f,,,,,,,,,,,,,,,,
001Hr000028ZbpN,"City Of Forest Grove, OR",Oregon,Municipality,Catherine Silvestri,26089,,Tier 1,1.5,45.5197,-123.1121,ab410ffc-bc01-4108-aaff-890d7dcc7037,,,,,,,,,,,,,,,,
001Hr000028ZbqT,"City Of Keizer, OR",Oregon,Municipality,Catherine Silvestri,39157,,Tier 1,1.5,44.9901,-123.0262,2eddd3a7-693e-476f-8a4f-a03b968cf1e8,,,,,,,,,,,,,,,,
001Hr000028ZbrA,"City Of Milwaukie, OR",Oregon,Municipality,Catherine Silvestri,20946,,Tier 2,1.0,45.4426,-122.6398,48226e0d-eba7-4d05-9c5b-11414c1c459e,,,,,,,,,,,,,,,,
001Hr000028Zbrr,"City Of Lincoln City, OR",Oregon,Municipality,Catherine Silvestri,9979,,Tier 3,0.75,44.9621,-124.0159,ac2ab1ce-038a-41f1-bb39-1d0ec58806fb,,,,,,,,,,,,,,,,
001Hr000028ZbsW,"City Of Astoria, OR",Oregon,Municipality,Catherine Silvestri,10343,Open Opportunity,Tier 2,1.0,46.1879,-123.8313,a0371507-d218-4080-b729-69b0ae029a5d,Open,Initial Interest,Top of Funnel,Leila Assil,,2/5/2025,,,8,2026-04-30,1,6,1,,,
001Hr000028ZbtI,"City Of West Linn, OR",Oregon,Municipality,Catherine Silvestri,27103,,Tier 1,1.5,45.3662,-122.6301,bc5dbc74-a1ac-424a-b55b-0cd9c6a6c3a5,,,,,,,,,1,2026-02-20,1,,,,,
001Hr000028ZbtK,"City Of Cottage Grove, OR",Oregon,Municipality,Catherine Silvestri,10637,,Tier 2,1.0,43.7972,-123.0591,d054c88b-d821-4b7b-b29d-d4fb13c9bad0,,,,,,,,,21,2026-05-13,10,,11,,,
001Hr000028Zbtx,"City Of St Helens, OR",Oregon,Municipality,Catherine Silvestri,14095,,Tier 2,1.0,45.859,-122.8212,aeb01a3f-4fd1-42ae-9852-fe44d1eb46a8,,,,,,,,,,,,,,,,
001Hr000028Zbu4,"Deschutes County, OR",Oregon,County,Catherine Silvestri,211535,,Tier S,2.0,43.8325,-121.2617,eb047abd-5beb-458b-a653-a4609d4070c7,,,,,,,,,20,2026-05-12,11,9,,,,
001Hr000028ZbuH,"City Of Creswell, OR",Oregon,Municipality,Catherine Silvestri,5667,,Tier 3,0.75,43.9179,-123.0245,c000f1c3-1631-40ae-b315-5c1af53f8622,,,,,,,,,,,,,,,,
001Hr000028Zbud,"City Of Fairview, OR",Oregon,Municipality,Catherine Silvestri,10907,,Tier 2,1.0,45.54,-122.4336,8fed2b00-adb4-45cb-922c-0a2fc6e012f7,,,,,,,,,,,,,,,,
001Hr000028Zbv7,"City Of Happy Valley, OR",Oregon,Municipality,Catherine Silvestri,25679,,Tier 1,1.5,45.4412,-122.5125,4745f77a-6757-4066-8014-c958ea98f37e,,,,,,,,,,,,,,,,
001Hr000028ZbvL,"City Of Hood River, OR",Oregon,Municipality,Catherine Silvestri,8341,,Tier 3,0.75,45.7089,-121.5123,7e7a9bdb-af69-4ea4-849e-7fc8836060ff,,,,,,,,,,,,,,,,
001Hr000028Zbvq,"City Of Grants Pass, OR",Oregon,Municipality,Catherine Silvestri,39364,,Tier 1,1.5,42.439,-123.3284,bd7b7d78-d625-4ef0-b5a0-44fcac9ee388,,,,,,,,,1,2025-09-15,,,,,1,
001Hr000028Zbvu,"City Of Veneta, OR",Oregon,Municipality,Catherine Silvestri,5265,,Tier 3,0.75,44.0487,-123.3509,39d71532-522f-4e9f-904f-d1db6bbc709b,,,,,,,,,2,2026-03-24,2,,,,,
001Hr000028ZbwI,"City Of Woodburn, OR",Oregon,Municipality,Catherine Silvestri,26054,Nurture,Tier 1,1.5,45.1437,-122.8554,2fb19c41-5aa6-4ffd-b76d-2c849f45eaa5,Closed Lost,,,Troy LeCaire,,1/5/2025,,,2,2025-09-17,,,,,2,
001Hr000028Zbwl,"City Of Junction City, OR",Oregon,Municipality,Catherine Silvestri,7116,,Tier 3,0.75,44.2193,-123.2056,c9aa5803-897a-45ac-8058-3f63b890e1c4,,,,,,,,,,,,,,,,
001Hr000028ZbyA,"City Of Lebanon, OR",Oregon,Municipality,Catherine Silvestri,18945,,Tier 2,1.0,44.5365,-122.907,796cbe65-bdec-4335-9b46-6244c9fe0d25,,,,,,,,,11,2025-08-20,,,11,,,
